linea,tiempo_hms,segundos,texto_original,texto_limpio,tramo,motivo_exclusion
11,00:01:13,73,"Sí, también aquí pocas dudas parecía ningún entrenador cambia. De hecho, es el mismo 11 que sacó el otro día contra el Valle de Munich que también le fue","Sí, también aquí pocas dudas parecía ningún entrenador cambia. De hecho, es el mismo 11 que sacó el otro día contra el Valle de Munich que también le fue",fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
12,00:01:21,81,Hans Flick. También sobre el portero van a estar muchas miradas puestas porque necesita realizar un gran partido en un escenario como este. Hoy puede ser el,Hans Flick. También sobre el portero van a estar muchas miradas puestas porque necesita realizar un gran partido en un escenario como este. Hoy puede ser el,fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
13,00:01:28,88,"día paraqu Peña, pero si hablamos de Días hay que hablar de Lewandowski con 12 goles o de Rafiña que lleva una temporada espectacular y bueno, los ojos","día paraqu Peña, pero si hablamos de Días hay que hablar de Lewandowski con 12 goles o de Rafiña que lleva una temporada espectacular y bueno, los ojos",fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
14,00:01:36,96,en la Minamal. un equipo con ocho españoles. El Fútbol Club Barcelona ni que decir tiene la juventud de de este equipo.,en la Minamal. un equipo con ocho españoles. El Fútbol Club Barcelona ni que decir tiene la juventud de este equipo.,fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
15,00:01:43,103,"Pues y además de la de la masía, la mayoría de ellos catalanes. Bueno, pues va a arrancar el partido. Ahí tenemos a Luning, que va a ser el portero titular","Pues y además de la de la masía, la mayoría de ellos catalanes. Bueno, pues va a arrancar el partido. Ahí tenemos a Luning, que va a ser el portero titular",fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
16,00:01:52,112,"del Real Madrid. Ahí tenemos a Carro Ancelotti, técnico absolutamente experimentado. Y ahí tenemos también a Hany Flick con esa cara de","del Real Madrid. Ahí tenemos a Carro Ancelotti, técnico absolutamente experimentado. Y ahí tenemos también a Hany Flick con esa cara de",fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
17,00:01:59,119,"concentración, de intensidad porque va a comenzar a rodar el balón. Tenemos ese plano cenital a vista de pájaro con el Real Madrid, que va a ser el equipo que","concentración, de intensidad porque va a comenzar a rodar el balón. Tenemos ese plano cenital a vista de pájaro con el Real Madrid, que va a ser el equipo que",fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
18,00:02:07,127,"ponga el balón en circulación. Va a arrancar el clásico. Qué ganas tenemos, amigas, amigos de la Liga. Un saludo cordial a toda la gente que ahora mismo","ponga el balón en circulación. Va a arrancar el clásico. Qué ganas tenemos, amigas, amigos de la Liga. Un saludo cordial a toda la gente que ahora mismo",fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
19,00:02:15,135,"nos está siguiendo allí de los Mares, a través de todas las televisiones del mundo entero. Desde Madrid para el","nos está siguiendo allí de los Mares, a través de todas las televisiones del mundo entero. Desde Madrid para el",fuera_del_partido,Presentacion previa o comentario posterior al pitido final.
20,00:02:22,142,"mundo, arranca el partido. Suerte para el Real Madrid, suerte para el Fútbol Club Barcelona, también para Sánchez Martínez y para Muñez Ruiz. Con esta","arranca el partido. Suerte para el Real Madrid, suerte para el Fútbol Club Barcelona, también para Sánchez Martínez y para Muñez Ruiz. Con esta",partido,
21,00:02:29,149,"primera aproximación se dejó el balón atrás Lucas Vázquez. No pudo llegar. Sí que ha llegado C de Valverde, el máximo recuperador de la Liga en terreno de","primera aproximación se dejó el balón atrás Lucas Vázquez. No pudo llegar. Sí que ha llegado C de Valverde, el máximo recuperador de la Liga en terreno de",partido,
22,00:02:37,157,juego rival. Ha tocado ese balón. Es saque de banda favorable al conjunto blaugrana. Teníamos a Feed de Valverde en esa presión y el saque de banda para,juego rival. Ha tocado ese balón. Es saque de banda favorable al conjunto blaugrana. Teníamos a Feed de Valverde en esa presión y el saque de banda para,partido,
23,00:02:46,166,"el cuadro culel. Real Madrid va a aprovechar, evidentemente para presionar. Se lo toma con calma el","el cuadro culel. Real Madrid va a aprovechar, evidentemente para presionar. Se lo toma con calma el",partido,
24,00:02:53,173,fútbol Club Barcelona. Ahí tenemos el doble de goles por parte de Robert Lewandowski. Killeran Mbappé que puede llevarse ese balón desde el costado,fútbol Club Barcelona. Ahí tenemos el doble de goles por parte de Robert Lewandowski. Killeran Mbappé que puede llevarse ese balón desde el costado,partido,
25,00:03:00,180,derecho. Está en posición de offside y va a poner el balón en circulación ya el Fútbol Club Barcelona. Prácticamente,derecho. Está en posición de fuera de juego y va a poner el balón en circulación ya el Fútbol Club Barcelona. Prácticamente,partido,
26,00:03:07,187,primer minuto de partido con este marcador de 0 a0. Este es el primer ataque del Fútbol Club Barcelona con Pedri ahora mismo perseguido por,primer minuto de partido con este marcador de 0 a0. Este es el primer ataque del Fútbol Club Barcelona con Pedri ahora mismo perseguido por,partido,
27,00:03:15,195,Vinicius a la derecha para Jus Kundé. Se lo toma con calma al Barça.,Vinicius a la derecha para Jus Kundé. Se lo toma con calma al Barça.,partido,
28,00:03:20,200,"Sí, a través de la posesión con un Pedri que está fantástico, Jordi. Estamos viendo la mejor versión de Pedri desde su lesión.","Sí, a través de la posesión con un Pedri que está fantástico, Jordi. Estamos viendo la mejor versión de Pedri desde su lesión.",partido,
29,00:03:27,207,"Sí, sin lugar a dudas, Esteban. La verdad es que eh hombre que no está teniendo todas las lesiones que ha","Sí, sin lugar a dudas, Esteban. La verdad es que eh hombre que no está teniendo todas las lesiones que ha",partido,
30,00:03:33,213,tenido y eso evidentemente le ayuda a poder rendir. Vamos a ver la posición de Killan Mbappé. Mbappé que tiene la oportunidad del primer minuto. Puede,tenido y eso evidentemente le ayuda a poder rendir. Vamos a ver la posición de Killan Mbappé. Mbappé que tiene la oportunidad del primer minuto. Puede,partido,
31,00:03:41,221,"marcar. La envía fuera. le ha enviado fuera que estaba en fuera de juego. Y aquí, amigas, amigos de la Liga, tenemos","marcar. La envía fuera. le ha enviado fuera que estaba en fuera de juego. Y aquí, amigas, amigos de la Liga, tenemos",partido,
32,00:03:49,229,"una de las claves del partido, la defensa adelantadísima del Fútbol Club Barcelona. Y ahí como puede, yo creo que por muy poco, pero sí que está en fuera","una de las claves del partido, la defensa adelantadísima del Fútbol Club Barcelona. Y ahí como puede, yo creo que por muy poco, pero sí que está en fuera",partido,
33,00:03:57,237,"de juego, pero ahí está Esteban, una de las claves del partido, defensa adelantada y las salidas fullantes de este hombre.","de juego, pero ahí está Esteban, una de las claves del partido, defensa adelantada y las salidas fullantes de este hombre.",partido,
34,00:04:04,244,"Una tónica de toda la temporada del Barça, defensa adelantada, rivales que caen fuera de juego, no siempre por mucho, todo lo contrario, casi","Una tónica de toda la temporada del Barça, defensa adelantada, rivales que caen fuera de juego, no siempre por mucho, todo lo contrario, casi",partido,
35,00:04:12,252,centímetros. Eso habla mucho de la coordinación de defensiva y aquí le doy mucha cuota de responsabilidad y de protagonismo hoy Ñakiqui Peña porque,centímetros. Eso habla mucho de la coordinación de defensiva y aquí le doy mucha cuota de responsabilidad y de protagonismo hoy Ñakiqui Peña porque,partido,
36,00:04:20,260,"Mbappé Vinicius son muy rápidos, no son jugadores que caen habitualmente en prueba de juego y el portero tiene que defender ese espacio o intentarlo.","Mbappé Vinicius son muy rápidos, no son jugadores que caen habitualmente en prueba de juego y el portero tiene que defender ese espacio o intentarlo.",partido,
37,00:04:28,268,"Bueno, pues el Real Madrid que ha tenido ya la primera oportunidad en el primer minuto de partido, 2 minutos ya de la","Bueno, pues el Real Madrid que ha tenido ya la primera oportunidad en el primer minuto de partido, 2 minutos ya de la",partido,
38,00:04:34,274,primera parte en el clásico desde Chamartí para el mundo. Real Madrid 0 Fútbol Club Barcelona 0. Lucas Vázquez abre el tobillo para combinar con Jud,primera parte en el clásico desde Chamartí para el mundo. Real Madrid 0 Fútbol Club Barcelona 0. Lucas Vázquez abre el tobillo para combinar con Jud,partido,
39,00:04:43,283,"Bellingham, le presiona Pedri, le derriba, falta táctica. Jud Bellingham saca el balón en estático. Juncunde","Bellingham, le presiona Pedri, le derriba, falta táctica. Jud Bellingham saca el balón en estático. Juncunde",partido,
40,00:04:51,291,acaba despejando el balón. Vemos a Fermín como doma el balón. Combina con la Minal. Es la primera acción del Fútbol Club Barcelona. Fermín se ha,acaba despejando el balón. Vemos a Fermín como doma el balón. Combina con la Minal. Es la primera acción del Fútbol Club Barcelona. Fermín se ha,partido,
41,00:04:58,298,llevado por delante ahí al jugador del Real Madrid. La falta es bastante clara.,llevado por delante ahí al jugador del Real Madrid. La falta es bastante clara.,partido,
42,00:05:02,302,"Ha ido muy fuerte ahí Fermín sobre Vinicius y el árbitro Sánchez Martínez que decreta, evidentemente falta. y","Ha ido muy fuerte ahí Fermín sobre Vinicius y el árbitro Sánchez Martínez que decreta, evidentemente falta. y",partido,
43,00:05:09,309,vemos como se adelanta el balón y como sobre Militao acaba cometiendo esa falta en el balón dividido.,vemos como se adelanta el balón y como sobre Militao acaba cometiendo esa falta en el balón dividido.,partido,
44,00:05:16,316,"Hoy es importante la figura del árbitro porque sabemos que en este partido, aparte de la técnica, la táctica, eh el físico, la sobrecitación, Jordi, el tema","Hoy es importante la figura del árbitro porque sabemos que en este partido, aparte de la técnica, la táctica, eh el físico, la sobrecitación, Jordi, el tema",partido,
45,00:05:25,325,"mental, jugadores muy muy calientes, muy muy nerviosos, pues el árbitro es el que menos nervioso tiene que estar y dejar fluir el juego.","mental, jugadores muy muy calientes, muy muy nerviosos, pues el árbitro es el que menos nervioso tiene que estar y dejar fluir el juego.",partido,
46,00:05:33,333,"Vineos por el costado izquierdo, primer balón que toca desde la banda del jugador brasileero. Recortado perfectamente otro recorte. Vamos a ver si logra meter el centro. Tiene hasta","Vineos por el costado izquierdo, primer balón que toca desde la banda del jugador brasileero. Recortado perfectamente otro recorte. Vamos a ver si logra meter el centro. Tiene hasta",partido,
47,00:05:41,341,tres jugadores delante del fútbol Club Barcelona y vemos a Vinicius como está ya segunda vez que reclama el apoyo del,tres jugadores delante del fútbol Club Barcelona y vemos a Vinicius como está ya segunda vez que reclama el apoyo del,partido,
48,00:05:48,348,público. 3 minutos y medio la entrada de Fermín y ahí vemos a Vinicius como acaba forzando de nuevo un saque de esquina,público. 3 minutos y medio la entrada de Fermín y ahí vemos a Vinicius como acaba forzando de nuevo un saque de esquina,partido,
49,00:05:55,355,donde el Real Madrid puede sacar petróleo. Cundéa ha sido el último a tocar ese balón y Fed de Valverde el encargado de patear el saque de esquina a los 4 minutos de la primera parte. De,donde el Real Madrid puede sacar petróleo. Cundéa ha sido el último a tocar ese balón y Fed de Valverde el encargado de patear el saque de esquina a los 4 minutos de la primera parte. De,partido,
50,00:06:04,364,momento ha arrancado mejor el clásico el equipo blanco. Fede de Valverde para meter ese balón hacia el primer palo. A la remanguillé lo intentaba Chuamení. Le,momento ha arrancado mejor el clásico el equipo blanco. Fede de Valverde para meter ese balón hacia el primer palo. A la remanguillé lo intentaba Chuamení. Le,partido,
51,00:06:12,372,cae el balón de nuevo a Vinicius. Tiene delante a Fermín que pugna con el balón.,cae el balón de nuevo a Vinicius. Tiene delante a Fermín que pugna con el balón.,partido,
52,00:06:15,375,Otro saque de esquina más para el equipo blanco.,Otro saque de esquina más para el equipo blanco.,partido,
53,00:06:18,378,"Y fíjate, no está Modri, no está Rodrigo Guller tampoco juega. ¿Quién iba a sacar el balón parado? Que el Madrid lleva nu goles. Pues mira, Fed Valverde va a ser el encargado hoy.","Y fíjate, no está Modri, no está Rodrigo Guller tampoco juega. ¿Quién iba a sacar el balón parado? Que el Madrid lleva nu goles. Pues mira, Fed Valverde va a ser el encargado hoy.",partido,
54,00:06:27,387,Pues Fed Valverde con el o a la espalda.,Pues Fed Valverde con el o a la espalda.,partido,
55,00:06:32,392,"Firme el equipo blanco. Chuamen el primer palo para intentar la prolongación y bueno, otro saque de esquina. No se sacude la presión. Ahí","Firme el equipo blanco. Chuamen el primer palo para intentar la prolongación y bueno, otro saque de esquina. No se sacude la presión. Ahí",partido,
56,00:06:39,399,vemos a Chuamení como le ha pisado a alguien porque le ha salido la bota.,vemos a Chuamení como le ha pisado a alguien porque le ha salido la bota.,partido,
57,00:06:44,404,Entiendo que Ñigo Martínez de forma involuntaria y el saque de esquina de nuevo para el equipo blanco. 4 minutos y medio se mantiene el 0 a0. Iñaki Peña,Entiendo que Ñigo Martínez de forma involuntaria y el saque de esquina de nuevo para el equipo blanco. 4 minutos y medio se mantiene el 0 a0. Iñaki Peña,partido,
58,00:06:51,411,tiene poco espacio ahí para moverse. Fed Valverde para los puños de Iñaqui Peña.,tiene poco espacio ahí para moverse. Fed Valverde para los puños de Iñaqui Peña.,partido,
59,00:06:57,417,Jud Bellingan con la testa. Ha tocado Marc Casado. Balón rebotado en el colegiado. Será balón para el Fútbol,Jud Bellingan con la testa. Ha tocado Marc Casado. Balón rebotado en el colegiado. Será balón para el Fútbol,partido,
60,00:07:05,425,"Club Barcelona. Iñaiqui Peña Estebán tenía muy poco espacio. Eh, sí. Eh, cuando tienes poco espacio, lo mejor eh bajo mi punto de vista es","Club Barcelona. Iñaiqui Peña Estebán tenía muy poco espacio. Eh, sí. Eh, cuando tienes poco espacio, lo mejor eh bajo mi punto de vista es",partido,
61,00:07:12,432,"ponerte más atrás, alejarte tú de de de de tanto tráfico. Estoy viendo una tendencia a los porteros que les gusta ponerse ahí. Yo creo que limitas mucho","ponerte más atrás, alejarte tú de tanto tráfico. Estoy viendo una tendencia a los porteros que les gusta ponerse ahí. Yo creo que limitas mucho",partido,
62,00:07:20,440,"tu capacidad de correr hacia delante y por lo tanto de impulsar, aunque es verdad que resolvió muy bien con un despeje de puños Iñaquip Peña.","tu capacidad de correr hacia delante y por lo tanto de impulsar, aunque es verdad que resolvió muy bien con un despeje de puños Iñaquip Peña.",partido,
63,00:07:27,447,"Reiniciando la acción, borrando en la pizarra de Chamartín, Lucas Vázquez para enviar ese balón atrás hacia eh Lunin","Reiniciando la acción, borrando en la pizarra de Chamartín, Lucas Vázquez para enviar ese balón atrás hacia eh Lunin",partido,
64,00:07:36,456,"para iniciar reiniciar de nuevo el periplo futbolístico del equipo blanco en este partido. Busca el fútbol directo. Tenemos a Paco Barsí tocando ese balón con la cabeza, marca Sad es","para iniciar reiniciar de nuevo el periplo futbolístico del equipo blanco en este partido. Busca el fútbol directo. Tenemos a Paco Barsí tocando ese balón con la cabeza, marca Sad es",partido,
65,00:07:44,464,"muy valiente, igual que Fede de Valverde. tocar Antonio Rudiger. El alemán se equivoca. Puede llevarse ese balón Fermín. El Barça que intenta","muy valiente, igual que Fede de Valverde. tocar Antonio Rudiger. El alemán se equivoca. Puede llevarse ese balón Fermín. El Barça que intenta",partido,
66,00:07:52,472,carburar un poquito la velocidad de Balde. Ahí tenemos al jugador de origen dominicano. Le roba la cartera para contar el dinero Jud Bellingham que ha,carburar un poquito la velocidad de Balde. Ahí tenemos al jugador de origen dominicano. Le roba la cartera para contar el dinero Jud Bellingham que ha,partido,
67,00:07:59,479,maravillado en esa zona del terreno de juego con ese par de giros y el saque de banda de nuevo para el equipo blanco Esteban que ha salido mejor al clásico de la liga.,maravillado en esa zona del terreno de juego con ese par de giros y el saque de banda de nuevo para el equipo blanco Esteban que ha salido mejor al clásico de la liga.,partido,
68,00:08:07,487,"Que sabíamos o intuíamos que la versión de Real Madrid iba a ser mejor que los últimos partidos en casa, por lo que representa un clásico, por lo que","Que sabíamos o intuíamos que la versión de Real Madrid iba a ser mejor que los últimos partidos en casa, por lo que representa un clásico, por lo que",partido,
69,00:08:15,495,"representa jugar contra el Fútbol Club Barcelona. Es verdad que ha empezado intenso, eh, dos equipos mirándose a la cara sin cometer grandes eh errores ni","representa jugar contra el Fútbol Club Barcelona. Es verdad que ha empezado intenso, eh, dos equipos mirándose a la cara sin cometer grandes eh errores ni",partido,
70,00:08:25,505,"grandes riesgos, porque es un partido, Jordi, que es muy importante ganar, pero entiendo que es fundamental no perderlo para que su construcción como equipo,","grandes riesgos, porque es un partido, Jordi, que es muy importante ganar, pero entiendo que es fundamental no perderlo para que su construcción como equipo,",partido,
71,00:08:33,513,"ninguno de los dos, genereen muchas dudas. Lo intentaba Jun Kundea, yo no recuerdo un clásico en los últimos años que llegara con los dos equipos con la","ninguno de los dos, genereen muchas dudas. Lo intentaba Jun Kundea, yo no recuerdo un clásico en los últimos años que llegara con los dos equipos con la",partido,
72,00:08:41,521,"flechita hacia arriba, sobre todo venir de dos goleadas como vienen los dos equipos en la Liga de Campeones. La enésima remontada del Real Madrid","flechita hacia arriba, sobre todo venir de dos goleadas como vienen los dos equipos en la Liga de Campeones. La enésima remontada del Real Madrid",partido,
73,00:08:49,529,"repitiendo la final de la Champions, 5-2 ante el Dortmund y la victoria ante su última bestia negra de los últimos años, el Bayern de Munich del Fútbol Club","repitiendo la final de la Champions, 5-2 ante el Dortmund y la victoria ante su última bestia negra de los últimos años, el Bayern de Munich del Fútbol Club",partido,
74,00:08:57,537,Barcelona con un Rafiña eh descomunal ah y con una autoridad absolutamente espectacular. Tenemos a Luni moviendo,Barcelona con un Rafiña eh descomunal ah y con una autoridad absolutamente espectacular. Tenemos a Luni moviendo,partido,
75,00:09:05,545,ese balón a la derecha para Militao. Si queré comentarlo algo a Esteban @esteban1unoportero @esteban un portero. En la red de,ese balón a la derecha para Militao. Si queré comentarlo algo a Esteban @esteban1unoportero @esteban un portero. En la red de,partido,
76,00:09:14,554,"Twitter en la red X, ahí tenemos a Vinicius Corta Pacubarí. Si me queréis comentar algo, lo podéis hacer a través de Twitter, la red X en este nickname","Twitter en la red X, ahí tenemos a Vinicius Corta Pacubarí. Si me queréis comentar algo, lo podéis hacer a través de Twitter, la red X en este nickname",partido,
77,00:09:22,562,"@jordipons-@jordipons- 7 minutos de la primera mitad, Real Madrid 0 Fútbol Club Barcelona.","@jordipons-@jordipons- 7 minutos de la primera mitad, Real Madrid 0 Fútbol Club Barcelona.",partido,
78,00:09:29,569,"Estabiliza ya un poquito más el Barça el partido intentando tener un poquito más de posesión. Tuvo una oportunidad muy clara, no lo podemos olvidar. Killan","Estabiliza ya un poquito más el Barça el partido intentando tener un poquito más de posesión. Tuvo una oportunidad muy clara, no lo podemos olvidar. Killan",partido,
79,00:09:38,578,"Mbappé en el primer minuto se salvó de la quema del Barça y tenemos a Ñaki Peña moviéndose Barón a la izquierda para Ñigo Martínez, titularísimo, ha ganado","Mbappé en el primer minuto se salvó de la quema del Barça y tenemos a Ñaki Peña moviéndose Barón a la izquierda para Ñigo Martínez, titularísimo, ha ganado",partido,
80,00:09:46,586,"la confianza de los culés, aunque ahí se ha equivocado, no ha podido llegar el máximo goleador de la liga hasta el momento, Robert Lewandowski con 12 dianas construye desde atrás. El Real","la confianza de los culés, aunque ahí se ha equivocado, no ha podido llegar el máximo goleador de la liga hasta el momento, Robert Lewandowski con 12 dianas construye desde atrás. El Real",partido,
81,00:09:56,596,Madrid se apacigua un poquito el partido y hablábamos de hablabas de Ñigo Martínez. Para mí uno de los secretos del Barça esta temporada es él precisamente esa defensa adelantada tiene un líder que es él.,Madrid se apacigua un poquito el partido y hablábamos de hablabas de Ñigo Martínez. Para mí uno de los secretos del Barça esta temporada es él precisamente esa defensa adelantada tiene un líder que es él.,partido,
82,00:10:06,606,La minamal Rudiger despejó el balón con la tista.,La minamal Rudiger despejó el balón con la tista.,partido,
83,00:10:10,610,Ahí ha ido a saco Camavinga. Sale al contragolpe el equipo blanco con Kilian Mbappé. Estas son de las que le gustan tanto al Real Madrid como al jugador francés. La cambia toda la izquierda.,Ahí ha ido a saco Camavinga. Sale al contragolpe el equipo blanco con Kilian Mbappé. Estas son de las que le gustan tanto al Real Madrid como al jugador francés. La cambia toda la izquierda.,partido,
84,00:10:21,621,"intuía Jud Belling que llegaba Camavinga, evita que el balón se pierda por la banda. Sigo viendo mejor hasta el momento al equipo blanco. 8 minutos de","intuía Jud Belling que llegaba Camavinga, evita que el balón se pierda por la banda. Sigo viendo mejor hasta el momento al equipo blanco. 8 minutos de",partido,
85,00:10:29,629,"la primera parte. Militado con el balón, espera con el bloque. Ahí lo tenemos juntito y sobre todo muy adelantado donde el Real Madrid va a intentar meter balones a la espalda de la defensa.","la primera parte. Militado con el balón, espera con el bloque. Ahí lo tenemos juntito y sobre todo muy adelantado donde el Real Madrid va a intentar meter balones a la espalda de la defensa.",partido,
86,00:10:40,640,"Lucas Vázquez no pudo ahí la sincronización de Lucas Vázquez con John Beniman. Eh, Pedri para que se la pueda llevar la min. Intenta el primer Slanom.","Lucas Vázquez no pudo ahí la sincronización de Lucas Vázquez con John Beniman. Eh, Pedri para que se la pueda llevar la min. Intenta el primer Slanom.",partido,
87,00:10:50,650,Ahí tenemos al crack del Fútbol Club Barcelona tunelando a Mendí para meter ese balón hacia Rafiña. Primera entrega de la personalidad y del carisma y de la,Ahí tenemos al crack del Fútbol Club Barcelona tunelando a Mendí para meter ese balón hacia Rafiña. Primera entrega de la personalidad y del carisma y de la,partido,
88,00:10:58,658,técnica de la Minamal. Acabó atrapando el balón Lunin. Es de los jugadores siempre que tiene el balón en los pies.,técnica de la Minamal. Acabó atrapando el balón Lunin. Es de los jugadores siempre que tiene el balón en los pies.,partido,
89,00:11:04,664,"Alguna cosa puede pasar, aunque no acabó en nada la acción, pero fue un pase maravilloso.","Alguna cosa puede pasar, aunque no acabó en nada la acción, pero fue un pase maravilloso.",partido,
90,00:11:09,669,"Tiene una cosa la minña más que es difícil defender, por eso es tan bueno.","Tiene una cosa la minña más que es difícil defender, por eso es tan bueno.",partido,
91,00:11:13,673,"Que es improvisación, Jordi. No tiene un patrón de comportamiento. Sale por fuera, sale por dentro, chuta, remata.","Que es improvisación, Jordi. No tiene un patrón de comportamiento. Sale por fuera, sale por dentro, chuta, remata.",partido,
92,00:11:19,679,"Es un jugador muy completo, difícil de defender, completo, insisto, Ñigo Martínez, si nos fijamos cuando no está balón, fíjate ahora dirigiendo con las","Es un jugador muy completo, difícil de defender, completo, insisto, Ñigo Martínez, si nos fijamos cuando no está balón, fíjate ahora dirigiendo con las",partido,
93,00:11:27,687,"manos, comunicando donde quiera la defensa y la recuperación tras pérdida del Fútbol Club Barcelona. Balón para Robert Lewandowski. El primer remate al aire","manos, comunicando donde quiera la defensa y la recuperación tras pérdida del Fútbol Club Barcelona. Balón para Robert Lewandowski. El primer remate al aire",partido,
94,00:11:35,695,acaba atrapando Andre Lunen. Esa es otra de las claves del clásico. Ya hemos visto la de Kilian Mbappé pase a la espalda y ahí parece que Rafiña se ha,acaba atrapando Andre Lunen. Esa es otra de las claves del clásico. Ya hemos visto la de Kilian Mbappé pase a la espalda y ahí parece que Rafiña se ha,partido,
95,00:11:44,704,"hecho daño en el tobillo izquierdo. La otra, esa recuperación tras pérdida del conjunto culé. Rafiña se queja del","hecho daño en el tobillo izquierdo. La otra, esa recuperación tras pérdida del conjunto culé. Rafiña se queja del",partido,
96,00:11:51,711,"tobillo. Vamos a ver la acción repetida por parte del capitán del Fútbol Club Barcelona. Y ahí está Militao, su compatriota, que le ayuda a levantarse.","tobillo. Vamos a ver la acción repetida por parte del capitán del Fútbol Club Barcelona. Y ahí está Militao, su compatriota, que le ayuda a levantarse.",partido,
97,00:11:59,719,"Pisotón, pisotón involuntario, entiendo, de Militao sobre Rafiña. Y ahí Robert Lewandowski por la oposición de Militao","Pisotón, pisotón involuntario, entiendo, de Militao sobre Rafiña. Y ahí Robert Lewandowski por la oposición de Militao",partido,
98,00:12:07,727,"no puede acabar de rematar bien ese balón porque Lewandowski, entiendo que ve a Militao, que le da con fuerza, pero calcula mal el delantero polaco.","no puede acabar de rematar bien ese balón porque Lewandowski, entiendo que ve a Militao, que le da con fuerza, pero calcula mal el delantero polaco.",partido,
99,00:12:16,736,"Lo hace muy militado, Jordi, porque sabe que no va a ganar el balón porque es imposible adelantar ahí a Lewandowski.","Lo hace muy militado, Jordi, porque sabe que no va a ganar el balón porque es imposible adelantar ahí a Lewandowski.",partido,
100,00:12:23,743,"que gana es o le le discute el espacio, con lo cual el remate no es tan bueno. A mí Militado, que este año está recibiendo alguna crítica y es verdad","que gana es o le le discute el espacio, con lo cual el remate no es tan bueno. A mí Militado, que este año está recibiendo alguna crítica y es verdad",partido,
